,SMILES,Scaffold,Decorations,Likelihoods,Gat_pred_pIC50,hba_lipinski,hbd_lipinski,slog_p,tpsa,n_stereo,n_rotatable
0,CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C*,2.188847064971924,5.461241245269775,3,1,3.696100000000002,62.300000000000004,1,2
7,CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C,2.893035411834717,5.461241245269775,3,1,3.696100000000002,62.300000000000004,1,2
28,C(C)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C(C)=O,3.9573326110839844,5.679969310760498,4,1,3.612800000000002,79.37,1,2
13,C(=O)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C(=O)C,4.102791786193848,5.679969310760498,4,1,3.612800000000002,79.37,1,2
24,O=C(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,O=C(C)*,4.340946197509766,5.679969310760498,4,1,3.612800000000002,79.37,1,2
4,c1cc(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C*)ccc1,4.391423225402832,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
55,c1c(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C*)cccc1,4.430134296417236,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
35,c1(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C*)ccccc1,4.589369773864746,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
114,O=C(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,O=C(*)C,4.608731269836426,5.679969310760498,4,1,3.612800000000002,79.37,1,2
21,O=CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,O=C*,4.646754741668701,5.630767822265625,4,1,3.2227000000000015,79.37,1,3
46,c1ccc(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccc(C*)cc1,4.6763482093811035,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
51,CC(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,CC(*)=O,4.680523872375488,5.679969310760498,4,1,3.612800000000002,79.37,1,2
157,c1cccc(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cccc(C*)c1,4.794114112854004,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
84,C1(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1(*)CC1,4.801640510559082,4.197469711303711,3,1,4.2287000000000035,62.300000000000004,1,3
1,C(c1ccccc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*Cc1ccccc1,4.817074775695801,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
70,c1ccccc1CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccccc1C*,4.947127342224121,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
69,CC(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,CC(=O)*,4.9511847496032715,5.679969310760498,4,1,3.612800000000002,79.37,1,2
18,C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C=O,4.982719898223877,5.630767822265625,4,1,3.2227000000000015,79.37,1,3
11,C(=O)(c1ccccc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C(=O)c1ccccc1,5.285920143127441,5.391275405883789,4,1,4.906700000000003,79.37,1,3
85,c1c(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C(=O)*)cccc1,5.307001113891602,5.391275405883789,4,1,4.906700000000004,79.37,1,3
108,C(c1ccccc1)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C(c1ccccc1)=O,5.309606552124023,5.391275405883789,4,1,4.906700000000003,79.37,1,3
226,C(=O)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(=O)(C)*,5.329745292663574,5.679969310760498,4,1,3.612800000000002,79.37,1,2
270,c1cc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C(=O)*)ccc1,5.366591453552246,5.391275405883789,4,1,4.906700000000004,79.37,1,3
212,c1ccc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccc(C(=O)*)cc1,5.405447483062744,5.391275405883789,4,1,4.906700000000003,79.37,1,3
91,C1(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1(C*)CC1,5.420127868652344,5.694301128387451,3,1,4.476300000000004,62.300000000000004,1,4
152,C1CC1N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1CC1*,5.420154094696045,4.197469711303711,3,1,4.2287000000000035,62.300000000000004,1,3
31,C(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*CC,5.422957420349121,5.771744728088379,3,1,4.086200000000003,62.300000000000004,1,3
306,c1c(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C(*)=O)cccc1,5.4390411376953125,5.391275405883789,4,1,4.906700000000004,79.37,1,3
462,c1cccc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cccc(C(=O)*)c1,5.439621448516846,5.391275405883789,4,1,4.906700000000004,79.37,1,3
86,c1(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C(=O)*)ccccc1,5.466450214385986,5.391275405883789,4,1,4.906700000000003,79.37,1,3
94,c1cc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C(*)=O)ccc1,5.489808082580566,5.391275405883789,4,1,4.906700000000004,79.37,1,3
17,C(C)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(*)(C)=O,5.504977703094482,5.679969310760498,4,1,3.612800000000002,79.37,1,2
63,C1C(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)C1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1C(*)C1,5.5070600509643555,4.197469711303711,3,1,4.2287000000000035,62.300000000000004,1,3
3,C(C)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(C)(*)=O,5.509716510772705,5.679969310760498,4,1,3.612800000000002,79.37,1,2
83,c1cccc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cccc(*)c1,5.57175874710083,5.353422164916992,3,1,5.270900000000004,62.300000000000004,1,3
